id,description
ABORIGINAL_ID_POP_PROJ,"Contains estimates and projections of the Aboriginal and Torres Strait Islander population based on the 2021 Census of Population and Housing, by sex and five-year age groups, for the period 2006 to 2031. Population projections illustrate how the Australian Aboriginal and Torres Strait Islander population would change in the future as a result of certain assumptions. This dataset presents 9 scenarios, comprising combinations of different rates of fertility, paternity, mortality, interstate migration and overseas migration. Unit of measure: Projected Persons. Geographic coverage: Australia/State. Catalogue number: 3238.0"
ABORIGINAL_ID_POP_PROJ_REMOTE,"Contains estimates and projections (based on assumptions on past and future fertility, mortality and migration) of the Aboriginal and Torres Strait Islander population based on the 2021 Census of Population and Housing for Indigenous Regions and Remoteness Areas by sex and five-year age groups, for the period 2017 to 2031. Population projections illustrate how the Australian Aboriginal and Torres Strait Islander population would change in the future as a result of certain assumptions. This dataset presents 9 scenarios, comprising combinations of different rates of fertility, paternity, mortality, interstate migration and overseas migration. Unit of measure: Projected Persons. Geographic coverage: Remoteness Areas. Catalogue number: 3238.0"
ABORIGINAL_POP_PROJ,"Contains estimates and projections of the Aboriginal and Torres Strait Islander population based on the 2021 Census of Population and Housing, by sex and five-year age groups, for the period 2006 to 2031. Population projections illustrate how the Australian Aboriginal and Torres Strait Islander population would change in the future as a result of certain assumptions. This dataset presents 9 scenarios, comprising combinations of different rates of fertility, paternity, mortality, interstate migration and overseas migration. Unit of measure: Projected Persons. Geographic coverage: Australia/State. Catalogue number: 3238.0"
ABORIGINAL_POP_PROJ_REMOTE,"Contains estimates and projections (based on assumptions on past and future fertility, mortality and migration) of the Aboriginal and Torres Strait Islander population based on the 2021 Census of Population and Housing for Indigenous Regions and Remoteness Areas by sex and five-year age groups, for the period 2017 to 2031. Population projections illustrate how the Australian Aboriginal and Torres Strait Islander population would change in the future as a result of certain assumptions. This dataset presents 9 scenarios, comprising combinations of different rates of fertility, paternity, mortality, interstate migration and overseas migration. Unit of measure: Projected Persons. Geographic coverage: Remoteness Areas. Catalogue number: 3238.0"
ABS_ABORIGINAL_POPPROJ_INDREGION,"Contains estimates and projections (based on assumptions on past and future fertility, mortality and migration) of the Aboriginal and Torres Strait Islander population based on the 2021 Census of Population and Housing for Indigenous Regions and Remoteness Areas by sex and five-year age groups, for the period 2021 to 2031. Population projections illustrate how the Australian Aboriginal and Torres Strait Islander population would change in the future as a result of certain assumptions. This dataset presents 9 scenarios, comprising combinations of different rates of fertility, paternity, mortality, interstate migration and overseas migration. Unit of measure: Projected Persons. Geographic coverage: Indigenous Regions. Catalogue number: 3238.0"
ABS_ACLD_LFSTATUS,"The Australian Census Longitudinal Dataset (ACLD) is Australia's largest longitudinal dataset bringing together a 5% random sample of around one million records from the 2006 Census with corresponding records from the 2011 Census. Unit of measure: Count of persons in scope of both the 2006 and 2011 Censuses. Geographic coverage: Australia/State/SA4/SA3/SA2. Catalogue number: 2080.5"
ABS_ACLD_TENURE,"The Australian Census Longitudinal Dataset (ACLD) is Australia's largest longitudinal dataset bringing together a 5% random sample of around one million records from the 2006 Census with corresponding records from the 2011 Census. Unit of measure: Count of persons in scope of both the 2006 and 2011 Censuses. Geographic coverage: Australia/State/SA4/SA3/SA2. Catalogue number: 2080.5"
ABS_ACLD_UNPAIDASST,"The Australian Census Longitudinal Dataset (ACLD) is Australia's largest longitudinal dataset bringing together a 5% random sample of around one million records from the 2006 Census with corresponding records from the 2011 Census. Unit of measure: Count of persons in scope of both the 2006 and 2011 Censuses. Geographic coverage: Australia/State/SA4/SA3/SA2. Catalogue number: 2080.5"
ABS_ACLD_VOLWORK,"The Australian Census Longitudinal Dataset (ACLD) is Australia's largest longitudinal dataset bringing together a 5% random sample of around one million records from the 2006 Census with corresponding records from the 2011 Census. Unit of measure: Count of persons in scope of both the 2006 and 2011 Censuses. Geographic coverage: Australia/State/SA4/SA3/SA2. Catalogue number: 2080.5"
ABS_ANNUAL_ERP_ASGS,"Estimated Resident Population (ERP) is the official measure of the Australian population. ERP for sub-state regions (including SA2s and LGAs) is published annually, with a reference date of 30 June. Unit of measure: Persons. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 3101.0"
